"","Year","N","mid","Species"
"1","1966",0.610526315789474,2.5,"Sprattus sprattus"
"2","1966",272.284210526316,6.5,"Sprattus sprattus"
"3","1966",339.421052631579,10.5,"Sprattus sprattus"
"4","1966",9.61052631578947,14.5,"Sprattus sprattus"
"5","1966",0,18.5,"Sprattus sprattus"
"6","1966",0,22.5,"Sprattus sprattus"
"7","1966",0,26.5,"Sprattus sprattus"
"8","1966",0,30.5,"Sprattus sprattus"
"9","1966",0,34.5,"Sprattus sprattus"
"10","1966",0,38.5,"Sprattus sprattus"
"11","1966",0,42.5,"Sprattus sprattus"
"12","1966",0,46.5,"Sprattus sprattus"
"13","1966",0,50.5,"Sprattus sprattus"
"14","1966",0,54.5,"Sprattus sprattus"
"15","1966",0,58.5,"Sprattus sprattus"
"16","1966",0,62.5,"Sprattus sprattus"
"17","1966",0,66.5,"Sprattus sprattus"
"18","1966",0,70.5,"Sprattus sprattus"
"19","1966",0,74.5,"Sprattus sprattus"
"20","1966",0,78.5,"Sprattus sprattus"
"21","1966",0,82.5,"Sprattus sprattus"
"22","1966",0,86.5,"Sprattus sprattus"
"23","1966",0,90.5,"Sprattus sprattus"
"24","1966",0,94.5,"Sprattus sprattus"
"25","1966",0,98.5,"Sprattus sprattus"
"26","1966",0,102.5,"Sprattus sprattus"
"27","1966",0,106.5,"Sprattus sprattus"
"28","1966",0,110.5,"Sprattus sprattus"
"29","1966",0,114.5,"Sprattus sprattus"
"30","1966",0,118.5,"Sprattus sprattus"
"31","1966",0,122.5,"Sprattus sprattus"
"32","1966",0,126.5,"Sprattus sprattus"
"33","1966",0,130.5,"Sprattus sprattus"
"34","1966",0,134.5,"Sprattus sprattus"
"35","1966",0,138.5,"Sprattus sprattus"
"36","1967",0,2.5,"Sprattus sprattus"
"37","1967",95.144,6.5,"Sprattus sprattus"
"38","1967",227.824,10.5,"Sprattus sprattus"
"39","1967",14.696,14.5,"Sprattus sprattus"
"40","1967",0,18.5,"Sprattus sprattus"
"41","1967",0,22.5,"Sprattus sprattus"
"42","1967",0,26.5,"Sprattus sprattus"
"43","1967",0,30.5,"Sprattus sprattus"
"44","1967",0,34.5,"Sprattus sprattus"
"45","1967",0,38.5,"Sprattus sprattus"
"46","1967",0,42.5,"Sprattus sprattus"
"47","1967",0,46.5,"Sprattus sprattus"
"48","1967",0,50.5,"Sprattus sprattus"
"49","1967",0,54.5,"Sprattus sprattus"
"50","1967",0,58.5,"Sprattus sprattus"
"51","1967",0,62.5,"Sprattus sprattus"
"52","1967",0,66.5,"Sprattus sprattus"
"53","1967",0,70.5,"Sprattus sprattus"
"54","1967",0,74.5,"Sprattus sprattus"
"55","1967",0,78.5,"Sprattus sprattus"
"56","1967",0,82.5,"Sprattus sprattus"
"57","1967",0,86.5,"Sprattus sprattus"
"58","1967",0,90.5,"Sprattus sprattus"
"59","1967",0,94.5,"Sprattus sprattus"
"60","1967",0,98.5,"Sprattus sprattus"
"61","1967",0,102.5,"Sprattus sprattus"
"62","1967",0,106.5,"Sprattus sprattus"
"63","1967",0,110.5,"Sprattus sprattus"
"64","1967",0,114.5,"Sprattus sprattus"
"65","1967",0,118.5,"Sprattus sprattus"
"66","1967",0,122.5,"Sprattus sprattus"
