"","sciname","a","b","Linf","K","Winf"
"1","Ammodytes marinus",0.00205,3.21975,21.8,0.89,41.8070146237056
"2","Clupea harengus",0.00476903225806452,3.15735806451613,32.632,0.38304,286.777700950429
"3","Eutrigla gurnardus",0.0087,2.9887,46,0.16,810.967750617922
"4","Gadus morhua",0.00668434782608696,3.0982347826087,119.333333333333,0.223333333333333,18169.9862091758
"5","Melanogrammus aeglefinus",0.006255625,3.1275625,61.78125,0.239375,2496.24343795141
"6","Merlangius merlangus",0.00698,3.03946153846154,45.41375,0.365875,759.99840379791
"7","Micromesistius poutassou",0.0042,3.0955,35,0.24,252.878508705365
"8","Pleuronectes platessa",0.00903666666666667,3.02178333333333,51.55,0.154428571428571,1348.93902661317
"9","Pollachius virens",0.00845,3.04363125,177,0.07,58729.7823829206
"10","Scomber scombrus",0.00272777777777778,3.32922222222222,38.2,0.501666666666667,504.486433474184
"11","Solea solea",0.00568666666666667,3.16506666666667,39.1,0.2515,622.591739770169
"12","Sprattus sprattus",0.00574684210526316,3.13475263157895,14.05,0.559,22.7567711781583
"13","Squalus acanthias",0.00263333333333333,3.12066666666667,109.35,0.12,6067.07921977257
"14","Trachurus trachurus",0.00912272727272727,3.00655,36.5,0.19475,454.188677326913
"15","Trisopterus esmarkii",0.00485555555555556,3.1316,22.6,0.52,84.4821417916648
